shipment_id,carrier_id,origin_country,dest_country,shipped_date,weight_kg,freight_cost_eur,is_expedited
161,C02,NL,DE,2026-03-21,2971.6,5227.12,false
162,C02,ES,FR,2026-03-22,2231.7,2489.03,false
163,C03,ES,FR,2026-03-23,4680.3,1361.44,false
164,C04,ES,DE,2026-03-24,1030.3,6020.55,true
165,C05,PT,ES,2026-03-25,3738.7,5102.38,false
166,C03,NL,DE,2026-03-26,2576.7,1780.46,false
167,C01,ES,FR,2026-03-27,2601.0,997.34,false
168,C05,DE,PL,2026-03-28,329.0,1243.49,false
169,C02,NL,DE,2026-03-01,620.7,644.19,false
170,C04,ES,DE,2026-03-02,2388.1,3663.41,false
171,C05,ES,DE,2026-03-03,265.0,6398.82,false
172,C05,DE,PL,2026-03-04,1149.3,1387.03,false
173,C01,FR,IT,2026-03-05,4178.8,502.85,true
174,C05,DE,PL,2026-03-06,1068.4,8846.54,false
175,C02,ES,FR,2026-03-07,4145.3,6485.81,false
176,C05,FR,IT,2026-03-08,2247.4,4686.13,false
177,C04,NL,DE,2026-03-09,2334.5,4998.16,false
178,C01,DE,PL,2026-03-10,1032.1,1099.11,false
179,C02,ES,FR,2026-03-11,60.5,1471.37,false
180,C01,NL,DE,2026-03-12,2931.7,1138.16,true
181,C01,NL,DE,2026-03-13,2648.4,362.55,false
182,C01,ES,DE,2026-03-14,939.1,5892.0,true
183,C03,PT,ES,2026-03-15,3966.3,2351.01,false
184,C04,FR,IT,2026-03-16,4186.0,1963.71,false
185,C02,ES,DE,2026-03-17,3678.0,6378.49,false
186,C04,ES,DE,2026-03-18,2723.2,4160.18,false
187,C02,ES,DE,2026-03-19,1322.2,1908.66,true
188,C04,ES,FR,2026-03-20,2036.8,4565.38,true
189,C02,FR,IT,2026-03-21,1755.1,2766.36,false
190,C05,ES,DE,2026-03-22,1618.4,7360.55,false
191,C04,FR,IT,2026-03-23,4009.1,1828.14,false
192,C04,NL,DE,2026-03-24,4047.1,3577.39,false
193,C01,ES,FR,2026-03-25,1907.2,2103.23,false
194,C04,NL,DE,2026-03-26,1045.7,8259.46,false
195,C03,PT,ES,2026-03-27,330.0,3135.45,false
196,C05,PT,ES,2026-03-28,2827.7,8564.65,false
197,C04,DE,PL,2026-03-01,3883.4,5064.71,false
198,C01,NL,DE,2026-03-02,4115.8,2627.14,false
199,C03,ES,DE,2026-03-03,3339.9,6348.79,true
200,C01,PT,ES,2026-03-04,1827.6,8835.96,false
201,C05,NL,DE,2026-03-05,3878.3,8135.44,false
202,C03,DE,PL,2026-03-06,2272.1,6108.77,true
203,C05,ES,DE,2026-03-07,1610.5,2423.74,true
204,C01,ES,FR,2026-03-08,2904.1,2166.8,false
205,C02,ES,DE,2026-03-09,797.9,5700.13,true
206,C01,DE,PL,2026-03-10,4231.9,631.3,false
207,C04,ES,FR,2026-03-11,2796.9,2757.94,false
208,C04,PT,ES,2026-03-12,1092.7,4416.48,false
209,C01,ES,DE,2026-03-13,76.7,4777.87,false
210,C04,FR,IT,2026-03-14,3813.9,4175.29,false
211,C01,DE,PL,2026-03-15,2499.3,2659.97,true
212,C05,NL,DE,2026-03-16,952.4,7958.43,false
213,C03,FR,IT,2026-03-17,3605.2,2958.57,false
214,C05,DE,PL,2026-03-18,3353.7,4116.99,false
215,C02,ES,FR,2026-03-19,2454.5,6013.56,false
216,C05,ES,DE,2026-03-20,1897.5,172.41,false
217,C05,DE,PL,2026-03-21,3432.9,9118.66,false
218,C05,NL,DE,2026-03-22,148.2,2436.07,false
219,C02,DE,PL,2026-03-23,2356.9,5156.5,false
220,C02,FR,IT,2026-03-24,2561.9,8702.52,false
221,C01,DE,PL,2026-03-25,2476.1,2383.37,false
222,C05,DE,PL,2026-03-26,220.6,265.93,false
223,C01,NL,DE,2026-03-27,4453.3,1911.15,false
224,C04,NL,DE,2026-03-28,2947.2,5786.59,false
225,C04,PT,ES,2026-03-01,249.7,103.62,true
226,C02,ES,DE,2026-03-02,1216.3,8995.5,false
227,C04,FR,IT,2026-03-03,4368.2,4235.29,false
228,C01,NL,DE,2026-03-04,2523.8,6514.41,true
229,C01,NL,DE,2026-03-05,244.0,6011.74,false
230,C04,DE,PL,2026-03-06,4433.6,5071.94,false
231,C01,DE,PL,2026-03-07,4198.5,6023.69,false
232,C02,DE,PL,2026-03-08,147.8,8004.96,false
233,C01,NL,DE,2026-03-09,3783.2,8747.96,false
234,C01,ES,DE,2026-03-10,697.4,4620.76,false
235,C02,NL,DE,2026-03-11,3529.0,2198.49,false
236,C02,ES,FR,2026-03-12,643.0,3882.88,false
237,C01,FR,IT,2026-03-13,1299.4,6882.84,false
238,C01,ES,FR,2026-03-14,677.1,7732.81,false
239,C02,FR,IT,2026-03-15,3332.0,1531.89,true
240,C02,ES,DE,2026-03-16,3976.9,5675.53,false
