event_id,occurred_at,user_id,event_type,value_cents
61,2026-07-08T13:07:00Z,u016,add_to_cart,10331
62,2026-07-09T14:14:00Z,u017,checkout,7525
63,2026-07-10T15:21:00Z,u018,search,16806
64,2026-07-11T16:28:00Z,u019,signup,9471
65,2026-07-12T17:35:00Z,u020,page_view,974
66,2026-07-13T18:42:00Z,u021,add_to_cart,2301
67,2026-07-14T19:49:00Z,u022,checkout,18453
68,2026-07-15T20:56:00Z,u023,search,3536
69,2026-07-16T21:03:00Z,u001,signup,13120
70,2026-07-17T22:10:00Z,u002,page_view,3532
71,2026-07-18T23:17:00Z,u003,add_to_cart,9532
72,2026-07-19T00:24:00Z,u004,checkout,12665
73,2026-07-20T01:31:00Z,u005,search,2189
74,2026-07-21T02:38:00Z,u006,signup,553
75,2026-07-22T03:45:00Z,u007,page_view,22442
76,2026-07-23T04:52:00Z,u008,add_to_cart,17
77,2026-07-24T05:59:00Z,u009,checkout,6996
78,2026-07-25T06:06:00Z,u010,search,6872
79,2026-07-26T07:13:00Z,u011,signup,1714
80,2026-07-27T08:20:00Z,u012,page_view,15400
81,2026-07-01T09:27:00Z,u013,add_to_cart,12303
82,2026-07-02T10:34:00Z,u014,checkout,23229
83,2026-07-03T11:41:00Z,u015,search,13022
84,2026-07-04T12:48:00Z,u016,signup,13755
85,2026-07-05T13:55:00Z,u017,page_view,2393
86,2026-07-06T14:02:00Z,u018,add_to_cart,18554
87,2026-07-07T15:09:00Z,u019,checkout,20625
88,2026-07-08T16:16:00Z,u020,search,6504
89,2026-07-09T17:23:00Z,u021,signup,22115
90,2026-07-10T18:30:00Z,u022,page_view,8840
91,2026-07-11T19:37:00Z,u023,add_to_cart,11039
92,2026-07-12T20:44:00Z,u001,checkout,2855
93,2026-07-13T21:51:00Z,u002,search,10197
94,2026-07-14T22:58:00Z,u003,signup,10898
95,2026-07-15T23:05:00Z,u004,page_view,496
96,2026-07-16T00:12:00Z,u005,add_to_cart,13436
97,2026-07-17T01:19:00Z,u006,checkout,3866
98,2026-07-18T02:26:00Z,u007,search,4410
99,2026-07-19T03:33:00Z,u008,signup,8073
100,2026-07-20T04:40:00Z,u009,page_view,23167
